shuffled_id,shuffled_file,original_file,source,ref_text,cer,duration_sec,utmos
24,audio/0024.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0f/0ff81a6c-dd40-4999-9f43-e5dda160957d.mp3,anim400k,東京湾の東さんを不当に。救護団が集まっているそうです。,0.28,6.979,3.450295
25,audio/0025.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/aa/aaec8426-159f-429a-9dce-fbdffb424eea.mp3,anim400k,ちょっとおかしな人間でいまだ冬。,0.2,7.079,3.596578
26,audio/0026.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e4/e48348f8-f6b8-4f37-ab1a-67e1b0963dbf.mp3,anim400k,はいお待ちどうさま今日は彼ライス。,0.188,6.159,3.111567
27,audio/0027.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fe/fea2325a-ab3f-4dfb-a2bc-0a2773e6589c.mp3,anim400k,直接話を聞いたのです。,0.0,3.639,3.523926
28,audio/0028.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0c/0ca578dd-6982-4487-ab46-20e20e6a8ffd.mp3,anim400k,日本をはじめとする各国政府。,0.0,5.479,3.402589
29,audio/0029.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/63/637b29be-1715-4e72-a30e-af63fa1d37d9.mp3,anim400k,アンケートに答えるだけで素敵なプレゼントが必ずもらえます。,0.0,7.139,3.173209
30,audio/0030.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/69/6921d968-4ab5-4f28-90f3-9773ceb91154.mp3,anim400k,さあ。どうする過ごし。,0.222,6.459,3.268298
31,audio/0031.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7c/7c7a6339-f6a7-4cb6-8977-1eee9c607496.mp3,anim400k,そうなれば。自衛隊は出動できます。,0.0,5.459,3.576299
32,audio/0032.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ae/ae23c136-5aed-43fa-9ecd-75a16d0082d3.mp3,anim400k,専門的な議論については。理解しかねます。,0.056,8.439,3.228489
33,audio/0033.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e7/e77e3346-5afc-41b7-b418-6d884ee2c380.mp3,anim400k,シフトウェート。インファイターの鋭い良いやし。アウトボクサーの彼なステップワーク。,0.158,8.259,3.401583
34,audio/0034.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f8/f8a270d4-14d1-4cc1-948a-6d1e9663591e.mp3,anim400k,院長室は長らく締め切ってあるので。使うなら手入れが必要だ。,0.074,7.099,3.35348
35,audio/0035.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1e/1e40d307-cb50-4afd-908c-fb94a0a999e3.mp3,anim400k,人は誰？しもが裏切る。,0.0,5.119,3.201612
36,audio/0036.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/3d/3d04db7c-e3d2-47d2-ad1b-1f23d9a9bb8b.mp3,anim400k,人の母と今月の父の間の子じゃ。家に真理が自由に出入りできる。,0.25,9.519,3.167966
37,audio/0037.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/43/43645ff2-5504-41fc-890f-4e4e16db717c.mp3,anim400k,精神的な疾患を初対面の素人がケアするのは厳しい。,0.043,7.319,3.512017
38,audio/0038.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/67/6789eb03-54ae-4118-bb81-083bc53b1570.mp3,anim400k,ステロイドが。有効成分布で沈黙して。,0.125,6.979,3.962977
39,audio/0039.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7d/7d23a7c1-7bb7-42ea-86fc-d32e59aa8165.mp3,anim400k,例を閉じ込めました。,0.111,4.539,3.1826
40,audio/0040.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/dc/dc4d0802-8936-4143-bd0d-f66e1b737783.mp3,anim400k,味は全くないが。とてもよく効く薬だそうだ。,0.263,7.499,3.271846
41,audio/0041.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ff/ffce5b15-1ef9-4b0c-b078-ca92384d73b8.mp3,anim400k,私は手続きをしてまいります。香港に着いたらご連絡しますので。,0.0,8.379,3.436892
42,audio/0042.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/10/100ac2f7-f95b-4ad2-a405-e5437fbb034a.mp3,anim400k,報告書に書かれていることが私の知る全てです。,0.095,6.159,3.262839
43,audio/0043.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d3/d3902b32-6ded-4e23-8a90-8dbce237e53f.mp3,anim400k,直にコンサトを見たりしたら。,0.231,4.859,4.0949
44,audio/0044.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fb/fb7b5a69-062b-4706-bf76-b0be3d7429ca.mp3,anim400k,ここで映像は終わっている。,0.0,5.019,3.490489
45,audio/0045.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1c/1ca80590-ed33-42a8-9c78-269a57b56faf.mp3,anim400k,少しでも多くの前任が。平等を享受できるように。,0.095,7.179,3.280845
46,audio/0046.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8e/8e984e6b-52ac-44fc-b27c-b02d7c03de16.mp3,anim400k,システム制御の。安全管。工場長の要請。,0.125,8.119,3.436551
47,audio/0047.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a5/a554110e-7140-4af1-8ea5-d3256405b408.mp3,anim400k,真剣に議題として取り上げていただくまでは一歩も動きません。,0.071,7.159,3.084535
48,audio/0048.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b1/b11a40bc-76e5-471d-8a28-2e84681b893f.mp3,anim400k,我が分銅を受け入れるのは？。,0.167,6.279,3.210104
49,audio/0049.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ec/ec725c2d-88a8-4a07-aa33-6b7bb5fa31bc.mp3,anim400k,何に？せよ。教えるあこが一人減ったのが助かる。,0.2,6.539,3.286884
50,audio/0050.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c8/c8777438-c606-4f74-b9e6-d95bcde3b8c4.mp3,anim400k,空間を開き。初期値を定め。,0.091,5.399,3.849074
51,audio/0051.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/6c/6c631844-60c6-4a38-be88-73054fb0fad8.mp3,anim400k,国連の安全保障理事会は。日本国政府に対し。,0.105,7.079,4.041709
52,audio/0052.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/73/73a331b3-a470-45b9-b61b-68a3d0812f95.mp3,anim400k,またまた持って話す。,0.0,5.679,3.715891
53,audio/0053.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/57/570456c3-9bbb-40d9-bade-b3d9b5fa4c99.mp3,anim400k,彼女の罪を減免する調査記録。,0.0,5.399,3.818697
54,audio/0054.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/92/9231bf2e-2163-436d-84f0-bc7a9a9e000d.mp3,anim400k,文章が整い過ぎている。,0.1,5.259,3.292422
55,audio/0055.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a7/a7291824-6aeb-4e42-8992-00791c9ca79e.mp3,anim400k,日が近くの倉庫でいいな。,0.182,4.539,3.957159
56,audio/0056.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b7/b727672e-0df5-4b4d-bfe5-8fc4c1a3806a.mp3,anim400k,私はちょうど腹が膨れている。,0.154,5.039,3.750964
57,audio/0057.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ff/ff69bad2-451f-4124-8348-26401181e59c.mp3,anim400k,経験に勝る知識なしってね。,0.167,5.179,3.730275
58,audio/0058.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/13/131b3c78-407f-4b13-b0ee-a02b7c8c5f31.mp3,anim400k,職人と商人の仕事は違いすぎるからお前。,0.111,6.419,3.554346
59,audio/0059.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/57/57c25079-d05c-4af7-bebf-4434f37e3ea8.mp3,anim400k,家族および親しい間柄の症状は。,0.286,5.799,3.10913
60,audio/0060.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/86/8681bca4-25e9-4bee-8c52-7dd5620a6fd0.mp3,anim400k,レイペンバーの。改札の新。庁舎の心。そして市の心だけを。もう一度三つ並べて見せてください。,0.3,9.779,3.482965
61,audio/0061.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/bf/bf2c938b-650f-4026-9b86-302cb8d19ef6.mp3,anim400k,世界タイトル。慶応種。,0.111,5.459,3.149463
62,audio/0062.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/39/3986497c-f960-4284-8a62-e0c68c06a9d6.mp3,anim400k,これは。漢籍を読んだ方が良さそうだ。,0.188,7.419,3.066008
63,audio/0063.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/52/5269037d-f241-4317-b180-f9c7f5eed142.mp3,anim400k,関係者ゲート付近で。警備の者が倒れていると連絡が。,0.217,7.019,3.056735
64,audio/0064.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5b/5b2859fa-d5b0-4e55-ad97-dfe5e374ac7d.mp3,anim400k,場合によっては。官庁の目に背くことになるかもしれない。,0.12,6.739,3.024638
65,audio/0065.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/86/8652e99c-f05f-48de-b49b-ed103afc7ed8.mp3,anim400k,ペテルギウスロマネコンティ示教。,0.133,6.079,3.032595
66,audio/0066.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8c/8c58f9ad-a95e-4a23-a703-9cdda01add67.mp3,anim400k,研修は。小径に詫びたいと言っておられた。,0.278,5.259,3.633341
67,audio/0067.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/94/940a4226-edbc-42c7-a825-7a228f3ac271.mp3,anim400k,趣旨をここで迎え撃ち。,0.3,5.979,3.512304
68,audio/0068.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c0/c0bbf08d-cc9c-4b88-8a6c-094ad9e9c279.mp3,anim400k,想像よりも重く感じられる期待。,0.0,6.679,3.367059
69,audio/0069.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/9b/9b7cb7e7-442f-4484-bb51-c9b7bcb9672f.mp3,anim400k,病院に行く時間でしょ。,0.0,4.099,3.380954
70,audio/0070.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c1/c1b32968-cc67-4918-8eb8-ccff4924a41e.mp3,anim400k,大切な家族の存在を不幸だと決めつけ。同情してくる人々。,0.0,7.919,3.355381
71,audio/0071.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e9/e9421b0d-f6e7-4444-bbe7-5b75579b4aad.mp3,anim400k,十九。どう。上腕。前腕などのパツまで対象として指定できます。,0.231,9.119,3.404155
72,audio/0072.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d8/d89303bf-bce4-41ba-b982-993127c94f30.mp3,anim400k,あとこれ。保険と誓約書。,0.1,4.619,3.727104
73,audio/0073.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/1c/1c629a15-ed18-4003-b37a-309f860ac733.mp3,anim400k,ブレンナに報い溶ければ。,0.182,3.899,3.639072
74,audio/0074.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b6/b68d4120-e53e-4ba4-9a2c-b74e6b9a2f1c.mp3,anim400k,信号が彼女に貸した文明はあまりにも過酷だ。,0.25,6.839,3.134799
75,audio/0075.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d6/d6512edf-aef1-4006-b504-e42eafdd4ec8.mp3,anim400k,五ラウンド終了の休憩でき側がわしに行ったことを。,0.261,5.359,3.013518
76,audio/0076.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/10/108f9608-a6cf-4b64-aa40-b175b9b8d00f.mp3,anim400k,間違いない。この木は。,0.0,6.239,3.558267
77,audio/0077.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2d/2d9626a1-ed7c-4852-bb4b-f08d02150a7b.mp3,anim400k,他に仲のいい友達もいませんでしたし。親のお下がり。で。,0.167,6.339,3.564296
78,audio/0078.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/7d/7ded0add-e298-43ee-9695-b61b53be1345.mp3,anim400k,胃の中からは人間の肉とみられる内容物が見つかりました。,0.115,6.919,3.135294
79,audio/0079.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ec/ecba337a-4f11-4f8e-9553-675f8837b6f7.mp3,anim400k,子供たちの留学のことは白紙になりました。,0.105,5.279,3.737056
80,audio/0080.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/69/69db06c3-b838-403d-b560-caa0ed590edb.mp3,anim400k,昨日発見された車は。三か月ほど前に起きたひき逃げ死亡事件に使われた。盗難者だったことが判明しました。,0.106,8.879,3.128114
81,audio/0081.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fd/fd7bd629-4b85-4186-904f-1587c134d0fc.mp3,anim400k,やつも国籍はアメリカ。町中のギャングと暴動を起こし。中等少年院に収容。,0.125,8.459,3.960959
82,audio/0082.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8c/8cf62109-5fa2-477f-ac06-14dd3b47c8e7.mp3,anim400k,電話がかかってきた。,0.0,4.999,3.047187
83,audio/0083.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/10/1006b27a-5769-4965-8ee1-c64334b7a362.mp3,anim400k,んですが。どこの業者さんでもうまくできる訳じゃないでしょう。いやすごい。,0.273,9.819,3.125494
84,audio/0084.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/3e/3ea897f9-83cb-4d1d-a4ac-99f7fdedc75a.mp3,anim400k,日本に自由を取り戻すために。,0.231,6.299,3.195374
85,audio/0085.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/97/97008f7f-1f3a-461a-a812-982a21c431cf.mp3,anim400k,ショパン。エチュード作品二十五。,0.214,6.039,3.440977
86,audio/0086.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a4/a46fac2d-4b53-414b-8012-85901a24ad3c.mp3,anim400k,一般人を犠牲にして。,0.0,4.099,3.123499
87,audio/0087.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a8/a80e4181-c050-4a50-a44b-988d57fbc293.mp3,anim400k,トンネルの最下部にある保守作業用のハッチに滑り込むこと。,0.111,8.039,3.234518
88,audio/0088.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a8/a89c8c82-886e-4144-8ec4-253f56f05d42.mp3,anim400k,以上が記事はゆきこちゃん。六歳の融解に関する状況です。,0.24,8.339,3.517476
89,audio/0089.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c6/c6a3d4a3-c67a-4474-bd63-eda048af5fde.mp3,anim400k,それに単純に設備がいいって。,0.077,5.439,3.385782
90,audio/0090.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/5f/5fe858d7-2b9f-42cc-9490-09290fa1261c.mp3,anim400k,人間の食物は口に合わ。,0.2,5.379,3.949087
91,audio/0091.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/b6/b6d58bb8-ec17-4d18-8d28-a5977a91bc25.mp3,anim400k,余裕のある相手を築くのは難しい。,0.133,5.459,3.132771
92,audio/0092.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df513670-9fa0-4b68-8fcf-b1a11cf5a332.mp3,anim400k,これは。会見を終了させていただきます。,0.118,7.019,3.227293
93,audio/0093.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8c/8c0c4791-8b2d-400d-bd27-f31a0d3516cc.mp3,anim400k,報告によれば。アイザックは作品。中央刑務所に潜入した。,0.25,8.099,3.640396
94,audio/0094.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2c/2c253246-e48b-4b70-b2b2-5e269af0a1fa.mp3,anim400k,前後目。樋口の車内に。免許証どこに入れたかな。,0.2,7.759,3.41158
95,audio/0095.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8a/8a7ccfbd-6c0f-4667-8d4a-f08ff14878f7.mp3,anim400k,思ったよりも通過者が多いので。ちょっと間引かせてもらいますね。も匹。,0.226,9.439,3.149784
96,audio/0096.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/9d/9d9d6263-075a-4a26-a00e-dd4e518bc687.mp3,anim400k,現地の情報筋によると。本日未明。ベギルスタン共和国でクーデタが八千円。,0.125,8.439,3.147353
97,audio/0097.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ab/abb160f8-6ef3-4384-84f1-8ba7b50c1800.mp3,anim400k,小説を書くことはできない。,0.0,5.679,3.14005
98,audio/0098.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/51/51c03bf2-b57e-4334-a384-9ae19007af20.mp3,anim400k,一度確認しますが。国連への提出は。,0.133,5.439,3.557975
99,audio/0099.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/95/956a77ff-c8ae-4371-950f-1cec383c211a.mp3,anim400k,もう亡くなりました。,0.0,4.079,3.372557
100,audio/0100.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/0a/0ae13d17-edac-4b0a-a9cd-f53029250f3b.mp3,anim400k,我々が求めているのは君の実績だけだ。,0.0,5.879,3.896997
101,audio/0101.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/18/1833bfbd-4a4a-4ab3-ba9c-a8be9b84df7d.mp3,anim400k,しかし驚きましたね。ちょうどの官房長官発表は。,0.286,8.719,3.004586
102,audio/0102.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/22/22968a15-8dfd-4a6a-a277-bb5f65def69d.mp3,anim400k,医師の流れに歪みがなく。非の打ちどころはない。プロのお手本のようだ。では。,0.212,9.379,3.118345
103,audio/0103.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/2b/2b929d7d-cd5d-4652-a681-30f4e65a749d.mp3,anim400k,映画日本の主張する通りの性能ならば。,0.176,7.179,3.314036
104,audio/0104.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/6f/6f7df2fa-455f-4acf-a522-271c75bba287.mp3,anim400k,得るは。本部の人員不足に困っていた。,0.125,5.519,3.48647
105,audio/0105.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/73/73de1db9-abd3-4669-ab72-7f9f37771ea8.mp3,anim400k,何が悪いのかを決めるのは権力者です。,0.0,4.879,3.694792
106,audio/0106.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/96/9653f9b7-9eb8-4e30-92e3-0db54f2500bb.mp3,anim400k,俺たちは宇宙創の良いだ。,0.273,5.559,3.45535
107,audio/0107.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/c0/c0a2b86e-c6dd-410f-a3b6-9b62bc55da47.mp3,anim400k,今日は埼玉県富士見市立東中旅行に来ています。,0.286,6.719,3.604893
108,audio/0108.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/96/9693f9fb-c3f5-4592-995d-86fca2c7de26.mp3,anim400k,孫に。会いに行きました。,0.2,5.599,3.08511
109,audio/0109.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d1/d112fc5e-682f-4340-a34d-26fc7a1915c8.mp3,anim400k,罪を消す。元部下が殺人犯では。会社の聞こえも悪かろう。,0.125,9.579,3.242261
110,audio/0110.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d9/d91488c4-b382-441a-8bef-730cfcb009ff.mp3,anim400k,水分遅れてしまった。,0.222,4.499,3.131798
111,audio/0111.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/00/004739cf-8a1a-488f-9325-ec81bdc9ce3f.mp3,anim400k,鼻角は二級事例では。二級では心もとないのでぬ。,0.286,7.519,3.417302
112,audio/0112.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/4f/4ff27287-16eb-49cb-972c-33cabff3c66e.mp3,anim400k,出世から生い立ちまで。架空の人物の出たを。鏡からもらった。,0.154,7.959,3.508155
113,audio/0113.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/a5/a572219c-975e-4ebf-b893-5e98d62d9592.mp3,anim400k,もうあれからそんなに達だ。,0.25,4.759,3.224871
114,audio/0114.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/d4/d4b26985-fcf3-40a0-b264-1f04a5e033b5.mp3,anim400k,ただ。こっちのハンディカメラ。,0.154,5.679,3.758511
115,audio/0115.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/29/29e922ad-41f2-42b8-a682-9e96c2ea471c.mp3,anim400k,被害はでかい方が良い。,0.3,4.239,3.227275
116,audio/0116.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/e2/e2aacabc-79c6-418b-b939-5c8f3348fb17.mp3,anim400k,前に仕事で来たんだ。さあ。食べて食べて。うまいんだここのそば。,0.148,8.499,3.020095
117,audio/0117.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/89/89b60108-0ed0-4fc9-8a89-032c42125291.mp3,anim400k,祖国。母親一人待ってますずっと一人で僕育ててくれて。,0.125,9.959,3.299374
118,audio/0118.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/da/da041752-6813-49c8-93cd-d83af6a0404b.mp3,anim400k,仕事の説明とか。道中の会話のネタに残しとけばいいのに。ちょっと。,0.069,7.999,3.196668
119,audio/0119.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f3/f3c5d217-363d-448c-9eae-b74ece7cf8ca.mp3,anim400k,取引成立です。ご協力感謝します。,0.0,6.139,3.492533
